❌ || 2023-12-28 00:00:29 - Access restriction for IP: 66.249.72.129, Country: 
❌ || 2023-12-28 00:01:08 - Access restriction for IP: 66.249.72.142, Country: US
❌ || 2023-12-28 00:01:46 - Access restriction for IP: 66.249.78.8, Country: 
❌ || 2023-12-28 00:01:47 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:01:47 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:01:47 - Access restriction for IP: 66.249.76.224, Country: 
❌ || 2023-12-28 00:01:48 - Access restriction for IP: 66.249.72.230, Country: 
❌ || 2023-12-28 00:01:57 - Access restriction for IP: 66.249.76.238, Country: 
❌ || 2023-12-28 00:02:04 - Access restriction for IP: 66.249.76.225, Country: 
❌ || 2023-12-28 00:02:12 - Access restriction for IP: 66.249.76.238, Country: 
❌ || 2023-12-28 00:02:34 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:02:56 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:03:17 - Access restriction for IP: 66.249.72.128, Country: 
❌ || 2023-12-28 00:03:24 - Access restriction for IP: 66.249.72.128, Country: 
❌ || 2023-12-28 00:03:39 - Access restriction for IP: 66.249.76.238, Country: 
❌ || 2023-12-28 00:03:50 - Access restriction for IP: 66.249.76.238, Country: 
❌ || 2023-12-28 00:04:01 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:04:22 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:04:47 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:05:05 - Access restriction for IP: 66.249.76.238, Country: 
❌ || 2023-12-28 00:05:05 - Access restriction for IP: 66.249.72.129, Country: 
❌ || 2023-12-28 00:05:27 - Access restriction for IP: 66.249.76.224, Country: 
❌ || 2023-12-28 00:05:48 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:06:10 - Access restriction for IP: 66.249.72.128, Country: 
❌ || 2023-12-28 00:06:31 - Access restriction for IP: 66.249.76.224, Country: 
❌ || 2023-12-28 00:06:53 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:07:15 - Access restriction for IP: 66.249.76.225, Country: 
❌ || 2023-12-28 00:07:36 - Access restriction for IP: 66.249.72.128, Country: 
❌ || 2023-12-28 00:07:54 - Access restriction for IP: 66.249.76.238, Country: 
❌ || 2023-12-28 00:07:58 - Access restriction for IP: 195.211.77.140, Country: 
❌ || 2023-12-28 00:07:58 - Access restriction for IP: 66.249.72.142, Country: 
❌ || 2023-12-28 00:08:00 - Access restriction for IP: 128.199.61.251, Country: 
❌ || 2023-12-28 00:08:00 - Access restriction for IP: 64.227.126.135, Country: 
❌ || 2023-12-28 00:08:00 - Access restriction for IP: 64.227.126.135, Country: 
❌ || 2023-12-28 00:08:00 - Access restriction for IP: 165.232.76.155, Country: 
❌ || 2023-12-28 00:08:01 - Access restriction for IP: 64.227.126.135, Country: 
